JobTitle,Location,Category,EducationLevel,EmploymentType,ExperienceLevel,Industry,ContracDuration,Shift,Compensation,JobType,PostedDate,JobDescription,JobURL
SLP Role - 25/26 School Year - Very Competitive Pay!,"Grants Pass, Oregon",Category: Education,,Contract Duration: 39 Weeks,,,Contract Duration: 39 Weeks,Work Setting: Schools,Est. Pay: $1246 / Week,,Posted Date: 7/23/2025,"?? Speech Language Pathologists – Grants Pants, OR!
$2,800+Wkly – W2 – Benefits – 401K
 
Help empower students thrive and communicate with confidence!??
 
If this opportunity doesn’t check all your boxes, location, pay or other, I have plenty of others that might be a better fit!
 
Know another School Based Professional looking? I’m happy to help?? 
Located in another state or area? I hire Nationally??? 
 
Reach out to set up some time to discuss!
?? Rayulo@amergis.com
?? 813-261-5525

Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/885647-slp-role-25-26-school-year-very-competitive-pay-grants-pass-oregon/
Special Education Teacher 25/26,"Covina, California",Category: Education,,Contract - Full Time,,,Contract Duration: 52 Weeks,Work Setting: Schools,Est. Pay: $55 / Hour,,Posted Date: 6/24/2025,"WE ARE HIRING GREAT PEOPLE FOR NEXT SCHOOL YEAR!
Mild/ Mod: $50-$55
Mod/ Severe: $60/$65 
LOCATION: Multiple needs across LA
The Special Education Teacher, under the direction of the Special Education Program Administrator provides quality services to special education students, kindergarten through grade 12.  The Special Education Teacher has a commitment to team participation in planning and implementation of student programs including special instruction, tutorial assistance and consultation with general education staff.  
Minimum Requirements:  


Bachelor’s Degree from an accredited university preferred 
Valid state teaching certificate as required by state, contract/district regulations 
Minimum of one year experience in teaching environment preferred 
State Teacher Certification; Type: Standard Elementary Teaching preferred
State Teacher Certification; Type: Standard Secondary Teaching preferred
State Teacher Certification; Type: Standard Special Teaching preferred
Endorsement: Learning Behavior Specialist (LBS1) preferred
Current CPR if applicable 
TB Questionnaire, PPD or chest x-ray if applicable 
Current Health certificate (per contract or state regulation) 
Must meet all federal, state and local requirements 
Must be at least 18 years of age 

Position – Special Education Teacher (25/26) (971129)




Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/879094-special-education-teacher-25-26-covina-california/
Speech Language Pathologist - Schools,"Lompoc, California",Category: Education,,Contract Duration: 32 Weeks,,,Contract Duration: 32 Weeks,Work Setting: Schools,Est. Pay: $4029 / Week,,Posted Date: 7/21/2025,"Position: Speech-Language Pathologist (SLP)  Location: Lompoc, CA  Setting: K–12 School-Based  Start Date: August 19, 2025  Schedule: Monday–Friday, 37.5 hours/week  Pay: $4,000/week (Travel) or $100/hour (Local)
Overview:  Amergis Staffing is hiring a licensed Speech-Language Pathologist to support students in Lompoc for the 2025–2026 school year. This full-time, onsite role includes direct therapy, evaluations, and IEP collaboration across multiple school sites.
Responsibilities:


Conduct speech and language assessments


Develop and implement individualized treatment plans


Deliver direct and consultative therapy services


Participate in IEP meetings and collaborate with school teams


Maintain accurate documentation and progress tracking


Qualifications:


Master’s degree in Speech-Language Pathology


Active California SLP license


Certificate of Clinical Competence (CCC-SLP) preferred


School-based experience preferred


CPR certification and health clearance


Benefits:


Weekly direct deposit


Medical, dental, and vision insurance


401(k) with employer match


CEU and licensure reimbursement





Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/884700-speech-language-pathologist-schools-lompoc-california/
25/ 26 SY- Teachers Needed. General and Special Education Needed in Atlanta Area,"Atlanta, Georgia",Category: Education,,Contract - Full Time,,,Contract Duration: 32 Weeks,Work Setting: Schools,Est. Pay: $1312 / Week,,Posted Date: 5/12/2025,"Teachers needed in Northeast GA and Metro Counties. Georgia Certification required. Full-time, in-person, is required for this role. Virtual instruction is not available. 

The Special Education Teacher, under the direction of the Special Education Program Administrator provides quality services to special education students, kindergarten through grade 12.  The Special Education Teacher has a commitment to team participation in planning and implementation of student programs including special instruction, tutorial assistance and consultation with general education staff.   
Minimum Requirements:  


Bachelor’s Degree from an accredited university preferred  
Valid state teaching certificate as required by state, contract/district regulations  
Minimum of one year experience in teaching environment preferred  
State Teacher Certification; Type: Standard Elementary Teaching preferred 
State Teacher Certification; Type: Standard Secondary Teaching preferred 
State Teacher Certification; Type: Standard Special Teaching preferred 
Endorsement: Learning Behavior Specialist (LBS1) preferred
Current CPR if applicable  
TB Questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or state regulation)  
Must meet all federal, state and local requirements 
Must be at least 18 years of age 

#LI-JD5

Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/870412-25-26-sy-teachers-needed-general-and-special-education-needed-in-atlanta-area-atlanta-georgia/
School Psychologist,"Roselle, Illinois",Category: Education,,Contract - Full Time,,,Contract Duration: 39 Weeks,Work Setting: Schools,Est. Pay: $2062 / Week,,Posted Date: 7/25/2025,"The School Psychologist works to support students through a variety of mental health and developmental issues and aids in qualifying students for additional support services.  The School Psychologist is responsible for providing on-site psychological services to students under the jurisdiction of the state and district.  
Minimum Requirements:  


Must maintain current State licensures and/or certifications in state of assignment  
Experience in pediatric and adolescent population is preferred  
Master’s degree in psychology preferred  
Complies with all relevant professional standards of practice  
Current CPR if applicable  
TB questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or state regulation)  
Must meet all federal, state and local requirements  
Must be at least 18 years of age  

































Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/886000-school-psychologist-roselle-illinois/
"Elementary School Psychologist | Clinton, MA","Clinton, Massachusetts",Category: Education,,Contract - Full Time,,,Contract Duration: 36 Weeks,Work Setting: Schools,Est. Pay: $2437 / Week,,Posted Date: 7/18/2025,"Elementary School Psychologist – Clinton, MA
$1500 Sign on Bonus!
25/26 School Year
Contract Position | Full-Time SchedulePartnered with a Respected Local School District

Amergis Healthcare Staffing is proud to partner with a well-regarded elementary school in Clinton, MA, currently seeking a full-time School Psychologist to join their team for the 2025–2026 academic year. This is a rewarding opportunity to support young learners in a collaborative and inclusive environment.

Position OverviewAs a School Psychologist, you will play a key role in supporting students in grades 2–4 through evaluations, counseling, and collaboration with the IEP team. Your work will help ensure that each student receives the support they need to thrive academically and emotionally.
Schedule

Monday – Friday, approximately 8:00 AM – 3:00 PM
Start Date: August 27 (with potential orientation/setup on August 25–26)

Pay Rate: $75/hr **$1500 sign on BONUS** (paid out after first week of work)
Key Responsibilities

Conduct psychological testing, evaluations, and re-evaluations
Provide 1:1 and small group counseling as needed
Collaborate with the IEP team to develop and implement student plans
Support the emotional and academic development of students

Qualifications

Active School Psychologist certification in Massachusetts
Experience working with elementary-aged children preferred
Strong communication and collaboration skills


District Requirements:


School CORI
Fingerprinting


If you’re passionate about supporting student success and want to be part of a dedicated educational team, we’d love to hear from you!

ContactSteph KolankoAmergis Staffing | Educational ServicesCall or Text: 781-400-8297Email: stkolank@amergis.com


































Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/884517-elementary-school-psychologist-clinton-ma-clinton-massachusetts/
Speech Language Pathologist 25/26 School Year,"Knoxville, Tennessee",Category: Education,,Contract - Full Time,,,Contract Duration: 39 Weeks,Work Setting: Schools,Est. Pay: $2175 / Week,,Posted Date: 4/30/2025,"The Speech-Language Pathologist in the school setting isresponsible for performing student evaluations as well as providing anddocumenting therapy services in accordance with the plan of care developed foreach individual student and the physician’s orders. 
Minimum Requirements:


Active Speech Language Pathologist (SLP) Licensure in thestate of assignment required 
Certificate of Clinical Competence in Speech-LanguagePathology (CCC-SLP) preferred and may be required by state/contract. 
Current CPR if applicable 
TB questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements 
Must be at least 18 years of age 


Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/868244-speech-language-pathologist-25-26-school-year-knoxville-tennessee/
Weekly Pay! Skilled Behavioral Technician,"Los Angeles, California",Category: Education,,Contract - Full Time,,,Contract Duration: 52 Weeks,Work Setting: Schools,Est. Pay: $19 / Hour,,Posted Date: 7/23/2025,"Weekly Pay Rate: $20 – $25/HR
The Behavior Technician works to facilitate educational and behavioral services with children and adults with special needs and collaborates with school professionals and other behavioral specialists to achieve learning and behavioral goals and objectives.
Essential Duties and Responsibilities:


Follows instructions from the BCBA, teacher, and/or program supervisor
Implements behavior management techniques in the form of prevention, intervention, and consequence strategies
Provides crisis intervention
Reviews and implements behavior intervention plans
Reviews and performs tasks to behavioral and ABA goals found within an IEP at the direction of an instructor
Assists in facilitating academic instruction at the direction of an instructor
Assists in facilitating SLP, OT, and PT development plans
Documents session per policies and procedures
Collects behavioral and academic data accurately and efficiently
Strictly adheres to confidentiality requirements
Assists students in the development of independent daily living skills through self-care activities such as toileting, clothing routines, and personal hygiene
Supports students across environments (i.e. classroom, playground, lunch room, gym, sensory room, library, etc.)
Performs other duties as assigned/necessary

Minimum Requirements:


High School diploma or equivalent required
Two (2) years of pediatric experience preferred
Complies with all relevant professional standards of practice 
Participation and completion of Amergis’ Competency program when applicable
Current CPR if applicable
TB questionnaire, PPD or chest x-ray if applicable 
Current health certificate (per contract or state regulation) 
Must meet all federal, state and local requirements 
Successful completion of new hire training as applicable to job site                  
Understand patient confidentiality and HIPAA requirements  
Ability to effectively elicit/provide information to and from appropriate individuals (including, but not limited to, supervisors, co-workers, clients) via strong communication skills; proficiency in the English language is required  
Computer proficiency required 
Must be at least 18 years of age

Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 


*Benefit eligibility is dependent on employment status. 

About Amergis
Amergis, formerly known as Amergis Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  

Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.
Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/885477-weekly-pay-skilled-behavioral-technician-los-angeles-california/
Special Education Teacher 25/26 School Year,"Stanton, Michigan",Category: Education,,Contract - Full Time,,,Contract Duration: 40 Weeks,Work Setting: Schools,Est. Pay: $1575 / Week,,Posted Date: 8/9/2025,"The Special Education Teacher, under the direction of theSpecial Education Program Administrator provides quality services to specialeducation students, kindergarten through grade 12.  The Special Education Teacher has acommitment to team participation in planning and implementation of studentprograms including special instruction, tutorial assistance and consultationwith general education staff.   
Minimum Requirements:  


Bachelor’s Degree from an accredited universitypreferred  
Valid state teaching certificate as required by state,contract/district regulations  
Minimum of one year experience in teaching environmentpreferred  
State Teacher Certification; Type: Standard ElementaryTeaching preferred 
State Teacher Certification; Type: Standard SecondaryTeaching preferred 
State Teacher Certification; Type: Standard Special Teachingpreferred 
Endorsement: Learning Behavior Specialist (LBS1) preferred 
Complies with all relevant professional standards ofpractice  
Current CPR if applicable 
TB questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements  
Must be at least 18 years of age  


Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/889445-special-education-teacher-25-26-school-year-stanton-michigan/
Now Hiring. School Nurses (LVN),"Walnut, California",Category: Education,,Contract - Full Time,,,Contract Duration: 32 Weeks,Work Setting: Schools,Est. Pay: $20 / Hour,,Posted Date: 8/1/2025,"NowHiring: School Nurses (LVN) – Make a Difference in Students’ Lives! 
Locations: Walnut, Glendora, Claremont
Start Date: August | Schedule: Part-Time & Full-Time
Pay Rate: $30–$37/hour
Areyou a compassionate and dedicated nurse ready to support student health andwell-being? Join Amergis HealthcareStaffing as a School Nurse andbecome a vital part of a caring educational community!
What You’ll Do:

Deliver high-quality     nursing care to students in a school setting
Apply the nursing process     with responsibility and accountability
Follow physician orders     and Amergis Healthcare’s standards and policies
May supervise other     healthcare staff within contracted services

Requirements:

Graduate of an accredited     nursing program (LPN, LVN, or RN)
Active nursing license in     California
1 year of professional     experience (preferred)
Current CPR certification
PPD or chest x-ray (if     applicable)
Current health certificate     (as required)
Must meet all federal,     state, and local requirements
Must be at least 18 years     old

 
Whetheryou’re looking for a flexible part-timerole or a full-time opportunity,we have a position for you starting this August!

Apply today and help shape a healthierfuture for students in your community!


Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/887828-now-hiring-school-nurses-lvn-walnut-california/
"LPN's in Jefferson County, KY!","Louisville, Kentucky",Category: Education,,Contract - Full Time,,,Contract Duration: 36 Weeks,Work Setting: Schools,Est. Pay: $937 / Week,,Posted Date: 5/9/2025,"The School Nurse assumes responsibility and accountability for the application of the nursing process and the delivery of student/client care and/or contracted services in a school setting. The School Nurse may also be in a supervisory position within the contracted services. The School Nurse provides services in accordance with Amergis Healthcare’s philosophy, standards, policies and physician orders.
 Minimum Requirements:

Graduate of an accredited registered, practical or vocational nursing program
Licensed as a Licensed Practical, Licensed Vocational or Registered Nurse in state(s) where practicing
One year of professional experience, preferred
Current CPR
PPD or chest x-ray if applicable
Current Health certificate (per contract or state regulation)
Must meet all federal, state and local requirements
Must be at least 18 years of age 

Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/870238-lpns-in-jefferson-county-ky-louisville-kentucky/
Speech Language Pathologist - Ontario - Looking fo,"Ontario, California",Category: Education,,Contract - Full Time,,,Contract Duration: 36 Weeks,Work Setting: Schools,Est. Pay: $3780 / Week,,Posted Date: 7/17/2025,"HiringSLPs for the 2025-2026 school year.
M-F – Fulltime and Part time opportunities position
$85 – $95(depending on experience)
Let meknow if you’re interested in a Different Location, We Staff Nationwide!!!

InterviewTODAY!! Email: chthornt @ amergis .com

The Speech-Language Pathologist in the school setting isresponsible for performing student evaluations as well as providing anddocumenting therapy services in accordance with the plan of care developed foreach individual student and the physician’s orders. 
Minimum Requirements: 


Active  SpeechLanguage Pathologist (SLP) Licensure in the state of assignment required 
Certificate of Clinical Competence in Speech-LanguagePathology (CCC-SLP) preferred and may be required by state/contract.  
Complies with all relevant professional standards ofpractice  
Current CPR if applicable 
TB questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements  
Must be at least 18 years of age  



Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/884115-speech-language-pathologist-ontario-looking-fo-ontario-california/
School RN - BSN Required,"Orange, California",Category: Education,,Contract - Full Time,,,Contract Duration: 52 Weeks,Work Setting: Schools,Est. Pay: $2400 / Week,,Posted Date: 6/27/2025,"Must be an RN
Must have School Credential – Preliminary Credential is accepted
Must have Bachelor’s Degree 


Full- Time SCRN role for School District for 25-26 School Year
Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/879985-school-rn-bsn-required-orange-california/
Part Time Physical Therapist (School),"Perris, California",Category: Education,,Contract - Part Time,,,Contract Duration: 36 Weeks,Work Setting: Schools,Est. Pay: $1428 / Week,,Posted Date: 8/11/2025,"The Physical Therapist is responsible for performing student evaluations, as well as providing and documenting therapy services in accordance with plan of care developed for each student and per physician’s orders when applicable. 
Minimum Requirements: 


Current licensure as a Physical Therapist in the state of practice 
Graduate of an accredited school of Physical Therapy 
One (1) year of prior professional Physical Therapy experience preferred 
Complies with all relevant professional standards of practice 
Current CPR if applicable
TB questionnaire, PPD or chest x-ray if applicable 
Current Health certificate (per contract or state regulation) 
Must meet all federal, state and local requirements 
Must be at least 18 years of age


Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/889645-part-time-physical-therapist-school-perris-california/
Mental Health Technician,"Tacoma, Washington",Category: Education,,Contract - Full Time,,,Contract Duration: 26 Weeks,Work Setting: Schools,Est. Pay: $26 / Hour,,Posted Date: 8/7/2025,"The Mental / Psychiatric Health Technician cares for individuals with psychiatric conditions as well as a variety of substance use disorders, following the instructions of physicians, nurses or other health practitioners. The Behavioral Health Technician monitors a patients’ safety, physical and emotional well-being and report directly to medical staff.
Minimum Requirements:


High School diploma or equivalent required
Associate’s degree in behavioral studies or related field, or equivalent experience preferred (or per facility requirements)
Minimum of one (1) year relevant experience preferred
Current CPR if applicable
TB Questionnaire, PPD or chest x-ray if applicable 
Current Health certificate (per contract or state regulation) 
Must meet all federal, state and local requirements 
Must be at least 18 years of age



General Comments








Required Certifications/License



Agency Affiliated Counselor (AAC)
 
1 or more years of experience working with patients in the behavioral health field required OR Bachelor’s degree in the social services field.
 
 
First Aid/CPR certification within 30 days of hire and required recertification annually thereafter.
 
Must obtain a Food Handlers card within 7 days of hire and maintain throughout employment.










Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/889175-mental-health-technician-tacoma-washington/
